UniLog;Empfänger
Zeit [Sek];SpannungRx [V];Spannung [V];Strom [A];Ladung [mAh];Leistung [W];Energie [Wh];Spannung/Zelle [V];Drehzahl [1/min];Wirkungsgrad [%];Höhe [m];Steigrate [m/sec];Temperatur 1 [°C];ServoImpuls [µs];InternTemperatur [°C]
  2012-10-23 17:31:54.574; 5.040;12.33;1.3;0.00;16;0.000;3.082;264;0.000;0.000;0.000;-100.000;1405;20.500
  2012-10-23 17:31:54.636; 5.040;12.33;1.3;0.00;16;0.000;3.082;264;0.000;-0.800;0.000;-100.000;1406;20.400
  2012-10-23 17:31:54.699; 5.040;12.33;1.2;0.00;15;0.000;3.082;272;0.000;-0.700;0.000;-100.000;1418;20.500
  2012-10-23 17:31:54.761; 5.040;12.32;1.4;0.00;18;0.000;3.080;280;0.000;-0.500;0.000;-100.000;1430;20.500
  2012-10-23 17:31:54.824; 5.040;12.32;1.6;0.00;20;0.001;3.080;298;0.000;-0.300;0.000;-100.000;1449;20.500
  2012-10-23 17:31:54.886; 5.040;12.32;1.8;0.00;22;0.001;3.080;312;0.000;0.500;0.000;-100.000;1459;20.500
  2012-10-23 17:31:54.949; 5.040;12.31;2.0;0.00;24;0.001;3.077;326;0.000;1.400;0.000;-100.000;1477;20.500
  2012-10-23 17:31:55.011; 5.040;12.31;2.1;0.00;26;0.002;3.077;340;0.000;1.400;0.000;-100.000;1494;20.500
  2012-10-23 17:31:55.074; 5.040;12.30;2.3;0.00;29;0.002;3.075;354;0.000;1.400;0.000;-100.000;1493;20.500
  2012-10-23 17:31:55.136; 5.040;12.30;2.2;0.00;28;0.003;3.075;363;0.000;1.200;0.000;-100.000;1506;20.500
  2012-10-23 17:31:55.199; 5.040;12.29;2.5;0.00;31;0.003;3.072;370;0.000;1.200;0.000;-100.000;1516;20.500
  2012-10-23 17:31:55.261; 5.040;12.28;3.1;0.00;38;0.004;3.070;388;0.389;1.100;0.000;-100.000;1541;20.500
  2012-10-23 17:31:55.324; 5.040;12.26;3.4;0.00;42;0.005;3.065;409;0.411;1.200;0.000;-100.000;1557;20.500
  2012-10-23 17:31:55.386; 5.040;12.26;3.9;0.00;48;0.006;3.065;429;0.421;1.100;0.000;-100.000;1574;20.500
  2012-10-23 17:31:55.449; 5.040;12.26;3.8;0.00;46;0.006;3.065;443;0.478;1.200;0.000;-100.000;1585;20.500
  2012-10-23 17:31:55.511; 5.040;12.24;4.2;0.00;52;0.007;3.060;454;0.460;1.200;0.000;-100.000;1597;20.500
  2012-10-23 17:31:55.574; 5.040;12.24;4.4;0.00;54;0.008;3.060;465;0.470;1.300;0.000;-100.000;1611;20.500
  2012-10-23 17:31:55.636; 5.050;12.22;4.9;0.00;60;0.009;3.055;480;0.470;1.200;0.000;-100.000;1613;20.500
  2012-10-23 17:31:55.699; 5.050;12.23;4.6;0.00;57;0.010;3.057;485;0.509;1.300;0.000;-100.000;1620;20.500
  2012-10-23 17:31:55.761; 5.050;12.22;5.0;0.00;61;0.011;3.055;491;0.496;1.300;0.000;-100.000;1622;20.500
  2012-10-23 17:31:55.824; 5.050;12.20;5.3;0.00;65;0.013;3.050;499;0.485;1.300;0.000;-100.000;1637;20.500
  2012-10-23 17:31:55.886; 5.050;12.20;5.5;0.00;67;0.014;3.050;509;0.499;1.200;0.000;-100.000;1643;20.500
  2012-10-23 17:31:55.949; 5.050;12.20;5.6;0.00;68;0.015;3.050;515;0.509;1.300;0.000;-100.000;1653;20.500
  2012-10-23 17:31:56.011; 5.050;12.19;5.8;0.00;70;0.016;3.047;520;0.508;1.200;0.000;-100.000;1657;20.500
  2012-10-23 17:31:56.074; 5.050;12.18;5.9;0.00;71;0.017;3.045;526;0.518;1.200;0.000;-100.000;1665;20.500
  2012-10-23 17:31:56.136; 5.050;12.18;6.1;0.00;74;0.019;3.045;528;0.503;1.200;0.000;-100.000;1672;20.500
  2012-10-23 17:31:56.199; 5.050;12.17;6.4;0.00;78;0.020;3.042;537;0.502;1.200;0.000;-100.000;1678;20.500
  2012-10-23 17:31:56.261; 5.050;12.16;6.6;0.00;80;0.021;3.040;545;0.511;1.200;0.000;-100.000;1683;20.500
  2012-10-23 17:31:56.324; 5.050;12.16;6.5;0.00;79;0.023;3.040;548;0.527;1.200;0.000;-100.000;1682;20.500
  2012-10-23 17:31:56.386; 5.050;12.15;6.6;0.00;80;0.024;3.037;550;0.528;1.200;0.000;-100.000;1683;20.500
  2012-10-23 17:31:56.449; 5.050;12.15;6.8;0.00;82;0.026;3.037;552;0.519;1.200;0.000;-100.000;1688;20.500
  2012-10-23 17:31:56.511; 5.050;12.14;7.1;0.00;86;0.027;3.035;557;0.512;1.200;0.000;-100.000;1704;20.500
  2012-10-23 17:31:56.574; 5.050;12.13;7.4;0.00;90;0.029;3.032;566;0.514;1.200;0.000;-100.000;1708;20.500
  2012-10-23 17:31:56.636; 5.050;12.12;7.4;0.00;90;0.030;3.030;571;0.524;1.200;0.000;-100.000;1707;20.500
  2012-10-23 17:31:56.699; 5.050;12.12;7.3;0.00;89;0.032;3.030;572;0.535;1.200;0.000;-100.000;1707;20.500
  2012-10-23 17:31:56.761; 5.050;12.12;7.4;0.00;89;0.033;3.030;572;0.531;1.200;0.000;-100.000;1710;20.500
  2012-10-23 17:31:56.824; 5.050;12.11;7.5;0.00;91;0.035;3.027;574;0.529;1.200;0.000;-100.000;1713;20.500
  2012-10-23 17:31:56.886; 5.050;12.11;7.7;0.00;93;0.036;3.027;577;0.523;1.200;0.000;-100.000;1718;20.500
  2012-10-23 17:31:56.949; 5.050;12.11;7.8;0.00;94;0.038;3.027;580;0.528;1.300;0.000;-100.000;1723;20.500
  2012-10-23 17:31:57.011; 5.050;12.10;7.8;0.00;95;0.040;3.025;582;0.528;1.400;0.000;-100.000;1724;20.500
  2012-10-23 17:31:57.074; 5.050;12.10;8.0;0.00;97;0.041;3.025;585;0.525;1.400;0.000;-100.000;1725;20.500
  2012-10-23 17:31:57.136; 5.050;12.09;8.0;0.00;96;0.043;3.022;587;0.532;1.500;0.000;-100.000;1728;20.500
  2012-10-23 17:31:57.199; 5.050;12.09;8.0;0.00;97;0.045;3.022;587;0.530;1.500;0.000;-100.000;1726;20.500
  2012-10-23 17:31:57.261; 5.050;12.08;8.2;0.00;99;0.046;3.020;588;0.522;1.500;0.000;-100.000;1727;20.500
  2012-10-23 17:31:57.324; 5.050;12.08;8.1;0.00;97;0.048;3.020;589;0.533;1.500;0.000;-100.000;1728;20.500
  2012-10-23 17:31:57.386; 5.050;12.08;8.2;0.00;100;0.050;3.020;591;0.526;1.500;0.000;-100.000;1736;20.500
  2012-10-23 17:31:57.449; 5.050;12.08;8.3;0.00;100;0.052;3.020;593;0.527;1.400;0.000;-100.000;1735;20.500
  2012-10-23 17:31:57.511; 5.050;12.07;8.5;0.00;102;0.053;3.017;596;0.525;1.500;0.000;-100.000;1743;20.500
  2012-10-23 17:31:57.574; 5.050;12.06;8.7;0.00;105;0.055;3.015;600;0.523;1.500;0.000;-100.000;1743;20.500
  2012-10-23 17:31:57.636; 5.050;12.06;8.6;0.00;104;0.057;3.015;602;0.535;1.500;0.000;-100.000;1743;20.500
  2012-10-23 17:31:57.699; 5.050;12.06;8.6;0.00;103;0.059;3.015;602;0.535;1.500;0.000;-100.000;1743;20.500
  2012-10-23 17:31:57.761; 5.050;12.06;8.5;0.00;103;0.061;3.015;602;0.538;1.500;0.000;-100.000;1743;20.500
  2012-10-23 17:31:57.824; 5.050;12.05;8.6;0.00;103;0.062;3.012;602;0.537;1.500;0.000;-100.000;1743;20.500
  2012-10-23 17:31:57.886; 5.050;12.05;8.5;0.00;103;0.064;3.012;601;0.536;1.500;0.000;-100.000;1743;20.500
  2012-10-23 17:31:57.949; 5.050;12.05;8.5;0.00;103;0.066;3.012;602;0.539;1.400;0.000;-100.000;1743;20.500
  2012-10-23 17:31:58.011; 5.050;12.05;8.5;0.00;103;0.068;3.012;601;0.536;1.300;0.000;-100.000;1743;20.500
  2012-10-23 17:31:58.074; 5.050;12.05;8.6;0.00;103;0.070;3.012;601;0.535;1.300;0.000;-100.000;1743;20.500
  2012-10-23 17:31:58.136; 5.050;12.05;8.5;0.00;103;0.071;3.012;601;0.536;1.100;0.000;-100.000;1743;20.500
  2012-10-23 17:31:58.199; 5.050;12.05;8.5;0.00;102;0.073;3.012;601;0.538;1.100;0.000;-100.000;1743;20.500
  2012-10-23 17:31:58.261; 5.050;12.04;8.6;0.00;103;0.075;3.010;601;0.535;1.100;0.000;-100.000;1743;20.500
  2012-10-23 17:31:58.324; 5.050;12.04;8.5;0.00;102;0.077;3.010;601;0.539;1.100;0.000;-100.000;1743;20.500
  2012-10-23 17:31:58.386; 5.050;12.04;8.5;0.00;103;0.078;3.010;601;0.537;1.200;0.000;-100.000;1743;20.500
  2012-10-23 17:31:58.449; 5.050;12.04;8.5;0.00;103;0.080;3.010;601;0.537;1.300;0.000;-100.000;1743;20.500
  2012-10-23 17:31:58.511; 5.050;12.04;8.5;0.00;102;0.082;3.010;601;0.538;1.300;0.000;-100.000;1743;20.500
  2012-10-23 17:31:58.574; 5.050;12.03;8.5;0.00;102;0.084;3.007;601;0.538;1.200;0.000;-100.000;1743;20.500
  2012-10-23 17:31:58.636; 5.050;12.03;8.5;0.00;103;0.086;3.007;601;0.537;1.200;0.000;-100.000;1743;20.500
  2012-10-23 17:31:58.699; 5.050;12.03;8.5;0.00;102;0.087;3.007;601;0.538;1.200;0.000;-100.000;1743;20.500
  2012-10-23 17:31:58.761; 5.050;12.03;8.5;0.00;102;0.089;3.007;600;0.538;1.200;0.000;-100.000;1743;20.500
  2012-10-23 17:31:58.824; 5.050;12.03;8.5;0.00;103;0.091;3.007;601;0.537;1.200;0.000;-100.000;1743;20.500
  2012-10-23 17:31:58.886; 5.050;12.03;8.6;0.00;103;0.093;3.007;601;0.536;1.300;0.000;-100.000;1743;20.500
  2012-10-23 17:31:58.949; 5.050;12.02;8.4;0.00;102;0.094;3.005;600;0.540;1.300;0.000;-100.000;1743;20.500
  2012-10-23 17:31:59.011; 5.050;12.02;8.5;0.00;102;0.096;3.005;600;0.536;1.300;0.000;-100.000;1743;20.500
  2012-10-23 17:31:59.074; 5.050;12.02;8.5;0.00;102;0.098;3.005;600;0.538;1.400;0.000;-100.000;1743;20.500
  2012-10-23 17:31:59.136; 5.050;12.02;8.5;0.00;102;0.100;3.005;600;0.538;1.500;0.000;-100.000;1743;20.500
  2012-10-23 17:31:59.199; 5.050;12.02;8.5;0.00;102;0.102;3.005;600;0.536;1.500;0.000;-100.000;1743;20.500
  2012-10-23 17:31:59.261; 5.050;12.02;8.5;0.00;102;0.103;3.005;600;0.536;1.500;0.000;-100.000;1743;20.500
  2012-10-23 17:31:59.324; 5.050;12.02;8.5;0.00;102;0.105;3.005;600;0.538;1.500;0.000;-100.000;1743;20.500
  2012-10-23 17:31:59.386; 5.050;12.02;8.5;0.00;103;0.107;3.005;600;0.535;1.600;-0.008;-100.000;1743;20.500
  2012-10-23 17:31:59.449; 5.050;12.02;8.5;0.00;102;0.109;3.005;600;0.536;1.500;-0.008;-100.000;1743;20.500
  2012-10-23 17:31:59.511; 5.050;12.02;8.5;0.00;103;0.110;3.005;600;0.535;1.400;-0.008;-100.000;1743;20.500
  2012-10-23 17:31:59.574; 5.050;12.02;8.6;0.00;103;0.112;3.005;600;0.534;1.300;-0.028;-100.000;1743;20.500
  2012-10-23 17:31:59.636; 5.050;12.01;8.5;0.00;102;0.114;3.002;600;0.537;1.200;-0.028;-100.000;1743;20.500
  2012-10-23 17:31:59.699; 5.050;12.01;8.5;0.00;102;0.116;3.002;600;0.537;1.100;-0.028;-100.000;1743;20.500
  2012-10-23 17:31:59.761; 5.050;12.01;8.5;0.00;102;0.118;3.002;600;0.540;1.000;-0.034;-100.000;1743;20.500
  2012-10-23 17:31:59.824; 5.050;12.01;8.5;0.00;102;0.119;3.002;600;0.538;1.100;-0.034;-100.000;1743;20.500
  2012-10-23 17:31:59.886; 5.050;12.01;8.5;0.00;102;0.121;3.002;599;0.533;1.100;-0.034;-100.000;1743;20.500
  2012-10-23 17:31:59.949; 5.050;12.01;8.4;0.00;101;0.123;3.002;599;0.538;1.000;-0.031;-100.000;1743;20.500
  2012-10-23 17:32:00.011; 5.050;12.01;8.5;0.00;102;0.125;3.002;599;0.535;1.000;-0.031;-100.000;1743;20.500
  2012-10-23 17:32:00.074; 5.050;12.01;8.4;0.00;101;0.126;3.002;599;0.538;1.000;-0.031;-100.000;1743;20.500
  2012-10-23 17:32:00.136; 5.050;12.00;8.6;0.00;103;0.128;3.000;599;0.532;0.900;-0.028;-100.000;1743;20.500
  2012-10-23 17:32:00.199; 5.050;12.00;8.4;0.00;101;0.130;3.000;599;0.538;0.800;-0.028;-100.000;1743;20.500
  2012-10-23 17:32:00.261; 5.050;12.00;8.5;0.00;102;0.132;3.000;599;0.537;0.900;-0.028;-100.000;1743;20.500
  2012-10-23 17:32:00.324; 5.050;12.00;8.5;0.00;102;0.133;3.000;599;0.537;1.000;-0.026;-100.000;1743;20.500
  2012-10-23 17:32:00.386; 5.050;12.00;8.5;0.00;102;0.135;3.000;599;0.536;1.000;-0.026;-100.000;1743;20.500
  2012-10-23 17:32:00.449; 5.050;12.00;8.5;0.00;102;0.137;3.000;599;0.537;1.100;-0.026;-100.000;1743;20.500
  2012-10-23 17:32:00.511; 5.050;12.00;8.5;0.00;102;0.139;3.000;599;0.535;1.100;-0.024;-100.000;1743;20.500
  2012-10-23 17:32:00.574; 5.050;12.00;8.5;0.00;102;0.141;3.000;599;0.537;1.000;-0.024;-100.000;1743;20.500
  2012-10-23 17:32:00.636; 5.050;11.99;8.5;0.00;102;0.142;2.997;599;0.536;0.900;-0.024;-100.000;1743;20.500
  2012-10-23 17:32:00.699; 5.050;11.99;8.4;0.00;101;0.144;2.997;598;0.538;0.900;-0.022;-100.000;1743;20.500
  2012-10-23 17:32:00.761; 5.050;11.99;8.5;0.00;102;0.146;2.997;599;0.537;0.900;-0.022;-100.000;1743;20.500
  2012-10-23 17:32:00.824; 5.050;11.99;8.5;0.00;102;0.148;2.997;599;0.537;0.900;-0.022;-100.000;1743;20.500
  2012-10-23 17:32:00.886; 5.050;11.99;8.5;0.00;102;0.149;2.997;599;0.536;0.900;-0.019;-100.000;1743;20.500
  2012-10-23 17:32:00.949; 5.050;11.99;8.4;0.00;101;0.151;2.997;599;0.539;0.900;-0.019;-100.000;1743;20.500
  2012-10-23 17:32:01.011; 5.050;11.99;8.4;0.00;101;0.153;2.997;599;0.543;0.900;-0.019;-100.000;1743;20.500
  2012-10-23 17:32:01.074; 5.050;12.08;4.5;0.00;54;0.154;3.020;576;0.897;0.900;-0.015;-100.000;1525;20.500
  2012-10-23 17:32:01.136; 5.040;12.17;1.3;0.00;16;0.154;3.042;471;0.000;0.800;-0.015;-100.000;1524;20.500
  2012-10-23 17:32:01.199; 5.040;12.16;2.0;0.00;24;0.154;3.040;413;0.000;0.800;-0.015;-100.000;1523;20.500
  2012-10-23 17:32:01.261; 5.040;12.15;2.5;0.00;30;0.155;3.037;397;0.000;0.800;-0.012;-100.000;1524;20.500
  2012-10-23 17:32:01.324; 5.040;12.15;2.6;0.00;31;0.156;3.037;395;0.000;0.800;-0.012;-100.000;1524;20.500
  2012-10-23 17:32:01.386; 5.040;12.15;2.6;0.00;31;0.156;3.037;394;0.000;0.900;-0.012;-100.000;1524;20.500
  2012-10-23 17:32:01.449; 5.040;12.15;2.6;0.00;32;0.157;3.037;394;0.000;0.900;-0.010;-100.000;1524;20.500
  2012-10-23 17:32:01.511; 5.040;12.15;2.6;0.00;32;0.157;3.037;394;0.000;0.900;-0.010;-100.000;1524;20.500
  2012-10-23 17:32:01.574; 5.040;12.16;2.6;0.00;32;0.158;3.040;395;0.000;1.000;-0.010;-100.000;1524;20.500
  2012-10-23 17:32:01.636; 5.040;12.16;2.6;0.00;32;0.158;3.040;395;0.000;1.000;-0.008;-100.000;1525;20.500
  2012-10-23 17:32:01.699; 5.040;12.16;2.6;0.00;32;0.159;3.040;395;0.000;1.000;-0.008;-100.000;1524;20.500
  2012-10-23 17:32:01.761; 5.040;12.16;2.6;0.00;32;0.159;3.040;395;0.000;1.000;-0.008;-100.000;1524;20.500
  2012-10-23 17:32:01.824; 5.040;12.16;2.6;0.00;32;0.160;3.040;395;0.000;1.000;-0.007;-100.000;1524;20.500
  2012-10-23 17:32:01.886; 5.040;12.16;2.6;0.00;32;0.161;3.040;395;0.000;1.000;-0.007;-100.000;1524;20.500
  2012-10-23 17:32:01.949; 5.040;12.16;2.6;0.00;32;0.161;3.040;395;0.000;1.100;-0.007;-100.000;1524;20.500
  2012-10-23 17:32:02.011; 5.040;12.16;2.6;0.00;32;0.162;3.040;395;0.000;1.200;-0.003;-100.000;1524;20.500
  2012-10-23 17:32:02.074; 5.040;12.17;2.6;0.00;32;0.162;3.042;395;0.000;1.200;-0.003;-100.000;1524;20.500
  2012-10-23 17:32:02.136; 5.040;12.17;2.6;0.00;32;0.163;3.042;395;0.000;1.200;-0.003;-100.000;1524;20.500
  2012-10-23 17:32:02.199; 5.040;12.17;2.6;0.00;32;0.163;3.042;395;0.000;1.100;0.001;-100.000;1524;20.500
  2012-10-23 17:32:02.261; 5.040;12.17;2.6;0.00;32;0.164;3.042;395;0.000;1.000;0.001;-100.000;1524;20.500
  2012-10-23 17:32:02.324; 5.040;12.17;2.6;0.00;32;0.164;3.042;395;0.000;1.000;0.001;-100.000;1524;20.500
  2012-10-23 17:32:02.386; 5.040;12.17;2.6;0.00;32;0.165;3.042;395;0.000;1.000;0.003;-100.000;1524;20.500
  2012-10-23 17:32:02.449; 5.040;12.17;2.6;0.00;32;0.166;3.042;395;0.000;1.100;0.003;-100.000;1524;20.500
  2012-10-23 17:32:02.511; 5.040;12.17;2.6;0.00;32;0.166;3.042;395;0.000;1.100;0.003;-100.000;1524;20.500
  2012-10-23 17:32:02.574; 5.040;12.17;2.6;0.00;32;0.167;3.042;395;0.000;1.100;0.006;-100.000;1524;20.500
  2012-10-23 17:32:02.636; 5.040;12.17;2.6;0.00;32;0.167;3.042;395;0.000;1.100;0.006;-100.000;1524;20.500
  2012-10-23 17:32:02.699; 5.040;12.17;2.6;0.00;32;0.168;3.042;395;0.000;1.100;0.006;-100.000;1524;20.500
  2012-10-23 17:32:02.761; 5.040;12.17;2.6;0.00;32;0.168;3.042;395;0.000;1.000;0.009;-100.000;1524;20.500
  2012-10-23 17:32:02.824; 5.040;12.17;2.6;0.00;32;0.169;3.042;395;0.000;1.000;0.009;-100.000;1524;20.500
  2012-10-23 17:32:02.886; 5.040;12.17;2.6;0.00;32;0.169;3.042;395;0.000;1.000;0.009;-100.000;1525;20.500
  2012-10-23 17:32:02.949; 5.040;12.17;2.6;0.00;32;0.170;3.042;395;0.000;1.000;0.007;-100.000;1524;20.500
  2012-10-23 17:32:03.011; 5.040;12.17;2.6;0.00;32;0.171;3.042;395;0.000;1.000;0.007;-100.000;1525;20.500
  2012-10-23 17:32:03.074; 5.040;12.18;2.6;0.00;32;0.171;3.045;396;0.000;1.000;0.007;-100.000;1523;20.500
  2012-10-23 17:32:03.136; 5.040;12.18;2.6;0.00;32;0.172;3.045;396;0.000;1.000;0.005;-100.000;1524;20.500
  2012-10-23 17:32:03.199; 5.040;12.18;2.6;0.00;32;0.172;3.045;395;0.000;1.000;0.005;-100.000;1524;20.500
  2012-10-23 17:32:03.261; 5.040;12.18;2.6;0.00;32;0.173;3.045;395;0.000;0.900;0.005;-100.000;1524;20.500
  2012-10-23 17:32:03.324; 5.040;12.18;2.7;0.00;33;0.173;3.045;395;0.000;1.000;0.004;-100.000;1524;20.500
  2012-10-23 17:32:03.386; 5.040;12.18;2.6;0.00;32;0.174;3.045;395;0.000;1.000;0.004;-100.000;1524;20.500
  2012-10-23 17:32:03.449; 5.040;12.18;2.6;0.00;32;0.174;3.045;395;0.000;0.900;0.004;-100.000;1525;20.500
  2012-10-23 17:32:03.511; 5.040;12.18;2.6;0.00;32;0.175;3.045;395;0.000;0.900;0.002;-100.000;1524;20.500
  2012-10-23 17:32:03.574; 5.040;12.18;2.6;0.00;32;0.176;3.045;395;0.000;1.000;0.002;-100.000;1524;20.500
  2012-10-23 17:32:03.636; 5.040;12.18;2.6;0.00;32;0.176;3.045;395;0.000;1.000;0.002;-100.000;1525;20.500
  2012-10-23 17:32:03.699; 5.040;12.18;2.6;0.00;32;0.177;3.045;395;0.000;1.000;0.002;-100.000;1524;20.500
  2012-10-23 17:32:03.761; 5.040;12.18;2.7;0.00;32;0.177;3.045;395;0.000;1.000;0.002;-100.000;1525;20.500
  2012-10-23 17:32:03.824; 5.040;12.18;2.6;0.00;32;0.178;3.045;395;0.000;1.100;0.002;-100.000;1524;20.500
  2012-10-23 17:32:03.886; 5.040;12.18;2.6;0.00;32;0.178;3.045;396;0.000;1.000;0.006;-100.000;1741;20.500
  2012-10-23 17:32:03.949; 5.050;12.02;9.5;0.00;114;0.180;3.005;432;0.179;1.000;0.006;-100.000;1743;20.500
  2012-10-23 17:32:04.011; 5.050;11.97;10.3;0.00;124;0.182;2.992;573;0.387;1.100;0.006;-100.000;1743;20.500
  2012-10-23 17:32:04.074; 5.050;12.02;8.6;0.00;104;0.184;3.005;597;0.521;1.100;0.011;-100.000;1743;20.500
  2012-10-23 17:32:04.136; 5.050;12.02;8.6;0.00;103;0.186;3.005;599;0.531;1.000;0.011;-100.000;1743;20.500
  2012-10-23 17:32:04.199; 5.050;12.02;8.5;0.00;102;0.188;3.005;599;0.535;1.000;0.011;-100.000;1743;20.500
  2012-10-23 17:32:04.261; 5.050;12.02;8.5;0.00;103;0.190;3.005;600;0.535;1.000;0.016;-100.000;1743;20.500
  2012-10-23 17:32:04.324; 5.050;12.01;8.5;0.00;102;0.191;3.002;600;0.537;1.100;0.016;-100.000;1743;20.500
  2012-10-23 17:32:04.386; 5.050;12.01;8.5;0.00;102;0.193;3.002;599;0.533;1.200;0.016;-100.000;1743;20.500
  2012-10-23 17:32:04.449; 5.050;12.01;8.4;0.00;101;0.195;3.002;599;0.538;1.200;0.019;-100.000;1743;20.500
  2012-10-23 17:32:04.511; 5.050;12.01;8.5;0.00;102;0.197;3.002;599;0.533;1.200;0.019;-100.000;1743;20.500
  2012-10-23 17:32:04.574; 5.050;12.00;8.5;0.00;102;0.198;3.000;599;0.535;1.200;0.019;-100.000;1743;20.500
  2012-10-23 17:32:04.636; 5.050;12.00;8.5;0.00;102;0.200;3.000;599;0.536;1.100;0.019;-100.000;1743;20.500
  2012-10-23 17:32:04.699; 5.050;12.00;8.5;0.00;102;0.202;3.000;599;0.537;1.100;0.019;-100.000;1743;20.500
  2012-10-23 17:32:04.761; 5.050;12.00;8.4;0.00;101;0.204;3.000;599;0.541;1.200;0.019;-100.000;1743;20.500
  2012-10-23 17:32:04.824; 5.050;12.00;8.5;0.00;102;0.205;3.000;599;0.536;1.300;0.018;-100.000;1743;20.500
  2012-10-23 17:32:04.886; 5.050;11.99;8.5;0.00;102;0.207;2.997;599;0.537;1.200;0.018;-100.000;1743;20.500
  2012-10-23 17:32:04.949; 5.050;11.99;8.4;0.00;101;0.209;2.997;599;0.539;1.200;0.018;-100.000;1743;20.500
  2012-10-23 17:32:05.011; 5.050;11.99;8.5;0.00;102;0.211;2.997;599;0.537;1.200;0.017;-100.000;1743;20.500
  2012-10-23 17:32:05.074; 5.050;11.99;8.4;0.00;100;0.213;2.997;599;0.543;1.200;0.017;-100.000;1743;20.500
  2012-10-23 17:32:05.136; 5.050;11.99;8.5;0.00;102;0.214;2.997;598;0.532;1.300;0.017;-100.000;1743;20.500
  2012-10-23 17:32:05.199; 5.050;11.99;8.4;0.00;101;0.216;2.997;599;0.543;1.400;0.017;-100.000;1743;20.500
  2012-10-23 17:32:05.261; 5.050;11.98;8.4;0.00;101;0.218;2.995;598;0.538;1.400;0.017;-100.000;1743;20.500
  2012-10-23 17:32:05.324; 5.050;11.98;8.4;0.00;101;0.220;2.995;598;0.540;1.400;0.017;-100.000;1743;20.500
  2012-10-23 17:32:05.386; 5.050;11.98;8.4;0.00;101;0.221;2.995;598;0.536;1.400;0.019;-100.000;1743;20.500
  2012-10-23 17:32:05.449; 5.050;11.98;8.4;0.00;101;0.223;2.995;598;0.536;1.300;0.019;-100.000;1743;20.500
  2012-10-23 17:32:05.511; 5.050;11.98;8.4;0.00;101;0.225;2.995;598;0.538;1.200;0.019;-100.000;1743;20.500
  2012-10-23 17:32:05.574; 5.050;11.98;8.4;0.00;101;0.227;2.995;598;0.536;1.300;0.018;-100.000;1743;20.500
  2012-10-23 17:32:05.636; 5.050;11.98;8.4;0.00;101;0.228;2.995;598;0.538;1.300;0.018;-100.000;1743;20.500
  2012-10-23 17:32:05.699; 5.050;11.98;8.4;0.00;101;0.230;2.995;598;0.540;1.200;0.018;-100.000;1742;20.500
